server_name,season,discord_id,username,combined_rank,combined_mmr,combined_games_played_pct,combined_wins,combined_losses,combined_win_pct,crewmate_rank,crewmate_mmr,crewmate_games_played_pct,crewmate_wins,crewmate_losses,crewmate_win_pct,impostor_rank,impostor_mmr,impostor_games_played_pct,impostor_wins,impostor_losses,impostor_win_pct
Bonfire,1,270234527207653387,Link,471,1042,100,16,13,55,380,1097,93,16,11,59,684,986,7,0,2,0
Bonfire,1,138662281633333248,linus,86,1201,100,15,6,71,85,1221,86,13,5,72,148,1180,14,2,1,67
Bonfire,1,279695936509313026,LJ_Toast,620,1020,100,2,5,29,557,1060,57,2,2,50,732,980,43,0,3,0
Bonfire,1,564535742534123522,LLJW 999,528,1033,100,1,0,100,510,1066,100,1,0,100,355,1001,0,0,0,0
Bonfire,1,418223992453857290,lmfao change your name,307,1092,100,5,1,83,136,1183,100,5,1,83,355,1001,0,0,0,0
Bonfire,1,530911117820559380,LOLMCGRIDDLE,588,1025,100,4,0,100,329,1111,100,4,0,100,873,940,0,0,0,0
Bonfire,1,330506631546667030,Lonely_Friend,308,1091,100,4,0,100,134,1183,100,4,0,100,388,1000,0,0,0,0
Bonfire,1,492982593696825344,Louisuk1 WGFSZF,70,1209,100,42,21,67,59,1250,84,40,13,75,161,1169,16,2,8,20
Bonfire,1,344901602278375425,low,217,1130,100,133,90,60,713,1008,85,123,67,65,41,1252,15,10,23,30
Bonfire,1,661276341248720964,Lstan,428,1052,100,4,3,57,340,1109,86,4,2,67,567,996,14,0,1,0
Bonfire,1,590290859212144640,Luka,116,1179,100,10,7,59,63,1248,71,9,3,75,288,1111,29,1,4,20
Bonfire,1,371164668980625408,Lumey,219,1130,100,39,26,60,657,1030,94,37,24,61,75,1229,6,2,2,50
